timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741748782017,22,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,22,0,0
1741748782039,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,1
1741748782057,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,0
1741748782091,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,20,0,0
1741748782111,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,1
1741748782129,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,1
1741748782147,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,0
1741748782164,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,1
1741748782182,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,0
1741748782200,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,20,0,0
1741748782220,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,20,0,0
1741748782241,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,0
1741748782259,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,0
1741748782277,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,1
1741748782295,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,1
1741748782313,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,1
1741748782331,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,1
1741748782350,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,0
1741748782368,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,1
1741748782386,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,0
1741748782404,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,0
1741748782422,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,1
1741748782440,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,0
1741748782457,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,1
1741748782475,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,0
1741748782494,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,19,0,1
1741748782514,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,0
1741748782531,24,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,24,0,0
1741748782555,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,20,0,1
1741748782593,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,19,0,0
1741748782613,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,0
1741748782631,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,0
1741748782650,56,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,56,0,0
1741748782706,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,19,0,1
1741748782725,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,0
1741748782743,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,0
1741748782761,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,0
1741748782778,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,0
1741748782796,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,0
1741748782813,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,1
1741748782832,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,1
1741748782849,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,1
1741748782867,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,0
1741748782885,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,0
1741748782902,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,0
1741748782919,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,1
1741748782936,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,1
1741748782954,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,0
1741748782972,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,0
1741748782990,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,1
1741748783007,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,1
